State,Year,TurnoutRate
New Hampshire,1996,0.6004999999999999
New Jersey,1996,0.5690999999999999
New Mexico,1996,0.49439999999999995
New York,1996,0.5291
North Dakota,1996,0.5711999999999999
Ohio,1996,0.5664
Oklahoma,1996,0.5142
Oregon,1996,0.6058
South Carolina,1996,0.44079999999999997
South Dakota,1996,0.6218
Utah,1996,0.5207
Vermont,1996,0.5999
Virginia,1996,0.5127
Washington,1996,0.5988
West Virginia,1996,0.4711
Wyoming,1996,0.6253
Alaska,1994,0.5425
Arizona,1994,0.39909999999999995
California,1994,0.4814
Colorado,1994,0.44310000000000005
Connecticut,1994,0.4985
Delaware,1994,0.39280000000000004
District Of Columbia,1994,0.4523
Florida,1994,0.4387
Hawaii,1994,0.46590000000000004
Idaho,1994,0.5345
Illinois,1994,0.39380000000000004
Indiana,1994,0.38
Iowa,1994,0.49219999999999997
Kansas,1994,0.455
Kentucky,1994,0.2925
Louisiana,1994,0.29410000000000003
Maryland,1994,0.4128
Massachusetts,1994,0.5125
Michigan,1994,0.46340000000000003
Minnesota,1994,0.5516
Mississippi,1994,0.3261
Montana,1994,0.5774
Nebraska,1994,0.5096
Nevada,1994,0.37450000000000006
New Hampshire,1994,0.3851
New Jersey,1994,0.3953
New Mexico,1994,0.4307
New York,1994,0.43689999999999996
North Dakota,1994,0.5125
Ohio,1994,0.4354
Oklahoma,1994,0.4304
Oregon,1994,0.5625
South Carolina,1994,0.35729999999999995
South Dakota,1994,0.6129
Utah,1994,0.4265
Vermont,1994,0.5073
Washington,1994,0.46659999999999996
West Virginia,1994,0.3187
Wyoming,1994,0.6052000000000001
Alaska,1992,0.6707
Arizona,1992,0.5676
California,1992,0.6158
Colorado,1992,0.6403
Connecticut,1992,0.6981999999999999
Delaware,1992,0.5821999999999999
District Of Columbia,1992,0.5418999999999999
Florida,1992,0.5721
Hawaii,1992,0.4818
Idaho,1992,0.669
Illinois,1992,0.6362
Indiana,1992,0.5642
Iowa,1992,0.6613
Kansas,1992,0.6413
Louisiana,1992,0.6006
Maryland,1992,0.5813
Massachusetts,1992,0.6492
Michigan,1992,0.64
Minnesota,1992,0.7393000000000001
Mississippi,1992,0.5433
Montana,1992,0.7034999999999999
Nebraska,1992,0.6479
Nevada,1992,0.5459
New Hampshire,1992,0.6698999999999999
New Jersey,1992,0.6199
New Mexico,1992,0.5506
New York,1992,0.5782
North Dakota,1992,0.6816
Ohio,1992,0.6254
Oklahoma,1992,0.6347999999999999
Oregon,1992,0.6987000000000001
South Carolina,1992,0.4731
Utah,1992,0.675
Vermont,1992,0.6978
Washington,1992,0.6498
Wyoming,1992,0.6275999999999999
Alaska,1990,0.5423
Arizona,1990,0.4337
California,1990,0.4353
Colorado,1990,0.4421
Connecticut,1990,0.4861
Delaware,1990,0.3782
District Of Columbia,1990,0.3887
Hawaii,1990,0.4595
Idaho,1990,0.4758
Illinois,1990,0.426
Indiana,1990,0.38380000000000003
Iowa,1990,0.4946
Kansas,1990,0.4517
Maryland,1990,0.34450000000000003
Massachusetts,1990,0.5529
Michigan,1990,0.3946
Minnesota,1990,0.5878
Montana,1990,0.57
Nebraska,1990,0.5338
Nevada,1990,0.3799
New Hampshire,1990,0.3776
New Jersey,1990,0.36810000000000004
New Mexico,1990,0.4182
New York,1990,0.3496
North Dakota,1990,0.5205
Ohio,1990,0.45399999999999996
Oklahoma,1990,0.413
Oregon,1990,0.5506
Rhode Island,1990,0.5177
South Carolina,1990,0.3127
Utah,1990,0.4219
Vermont,1990,0.5233
Washington,1990,0.3983
Wyoming,1990,0.5252
Alaska,1988,0.5729
Arizona,1988,0.49090000000000006
California,1988,0.5745
Colorado,1988,0.6086
Connecticut,1988,0.6143
Delaware,1988,0.5399
District Of Columbia,1988,0.43479999999999996
Hawaii,1988,0.4979
Idaho,1988,0.6312
Illinois,1988,0.5907
Indiana,1988,0.556
Iowa,1988,0.6136
Maryland,1988,0.5256000000000001
Massachusetts,1988,0.6132
Michigan,1988,0.5666
Minnesota,1988,0.6886
Montana,1988,0.6673
Nebraska,1988,0.6029
Nevada,1988,0.4612
New Hampshire,1988,0.5775
New Jersey,1988,0.5710000000000001
New Mexico,1988,0.5344
New York,1988,0.5397
North Dakota,1988,0.662
Ohio,1988,0.5722999999999999
Oklahoma,1988,0.5309
Oregon,1988,0.6232
Rhode Island,1988,0.5763
South Carolina,1988,0.42460000000000003
Utah,1988,0.6342
Vermont,1988,0.6670999999999999
Washington,1988,0.5861
Wyoming,1988,0.5916
Alaska,1986,0.5189
