State,Year,TurnoutRate
Rhode Island,2000,0.5608
Maryland,2018,0.5426
New Jersey,2018,0.5367999999999999
California,2002,0.377
District Of Columbia,1990,0.3887
Vermont,2000,0.6542
New York,2000,0.5616
Minnesota,2006,0.6065
Alabama,2008,0.6093999999999999
Ohio,1990,0.4539999999999999
Iowa,2014,0.5033
Missouri,2022,0.4957999999999999
South Dakota,2002,0.6146
New Jersey,1980,0.5853
California,2006,0.4159
Michigan,1990,0.3946
Massachusetts,2002,0.4927
Arizona,2022,0.4918
New Hampshire,2018,0.5439
Tennessee,2010,0.3495
New Mexico,1986,0.4136999999999999
Alaska,1984,0.6213000000000001
Michigan,1988,0.5666
Michigan,2002,0.4508
Delaware,1990,0.3782
Kansas,2014,0.4341
Wyoming,1990,0.5252
California,2008,0.6171
Delaware,1992,0.5821999999999999
Montana,2010,0.484
Connecticut,2006,0.4747999999999999
Colorado,1980,0.5914
New Jersey,1982,0.4377
Virginia,2006,0.4435
Georgia,2020,0.6706
Washington,2010,0.5474
Nevada,2014,0.2946999999999999
Delaware,2018,0.514
Louisiana,1998,0.3197
Ohio,2002,0.402
Massachusetts,2018,0.5478000000000001
Wyoming,2014,0.401
Vermont,1994,0.5073
Wyoming,1994,0.6052000000000001
New York,2018,0.4526
Connecticut,2022,0.4871
Virginia,2004,0.61
New Jersey,1984,0.6047
Vermont,1996,0.5999
Utah,1988,0.6342
Vermont,2008,0.677
New Mexico,1996,0.4943999999999999
South Carolina,2010,0.4033
West Virginia,2018,0.4236
Wyoming,2002,0.5145000000000001
New Jersey,2010,0.3786
Washington,1986,0.4309
District Of Columbia,1998,0.3450999999999999
Connecticut,1988,0.6143
Arkansas,2020,0.5617
Oregon,2008,0.6831999999999999
Illinois,2004,0.6293
District Of Columbia,2004,0.5573
New York,1998,0.4071
Delaware,1996,0.5246
West Virginia,2004,0.5468
Kentucky,1998,0.4144
West Virginia,1998,0.2917
California,1982,0.499
Rhode Island,2012,0.5849
Idaho,1996,0.6157
Montana,1990,0.57
Connecticut,2016,0.6473
Minnesota,2010,0.5606
Connecticut,2020,0.7009000000000001
Alaska,1988,0.5729
Colorado,1982,0.4722999999999999
New Mexico,2004,0.6014
California,1990,0.4353
South Carolina,2006,0.3514
Washington,1996,0.5988
Montana,2006,0.568
Nevada,2000,0.4635
Kentucky,1994,0.2925
Utah,1980,0.6662
Georgia,2014,0.3857
Kansas,1996,0.578
Massachusetts,2012,0.66
Ohio,2010,0.4618
Minnesota,1996,0.6661
Arkansas,2022,0.4153
Oregon,1982,0.5613
Arkansas,2004,0.5428999999999999
North Dakota,1992,0.6816
South Dakota,1998,0.4982
North Dakota,1986,0.6227
Illinois,2002,0.4331
South Carolina,2000,0.4926
California,1984,0.5896
Rhode Island,2002,0.4543999999999999
Indiana,1984,0.5793
Iowa,2012,0.706
Minnesota,2012,0.765
Georgia,2004,0.5744
Illinois,2006,0.4186999999999999
Maryland,2012,0.6729999999999999
Iowa,2018,0.5766
Indiana,1998,0.3722
Minnesota,1980,0.7211
Idaho,2022,0.425
Rhode Island,1998,0.4279
Washington,2006,0.4750999999999999
Arizona,1998,0.3209
North Dakota,1982,0.5724
Arkansas,2016,0.5311
Iowa,1980,0.6346
Idaho,1980,0.7041
Idaho,1994,0.5345
New Hampshire,1982,0.4213
Pennsylvania,2016,0.6420999999999999
North Dakota,2016,0.619
Texas,2002,0.3414
Ohio,1986,0.4663
Delaware,2016,0.6451
Alaska,2018,0.5418999999999999
Iowa,2022,0.5216
Tennessee,2000,0.5036
Utah,1984,0.6428
District Of Columbia,1994,0.4523
Washington,2002,0.4391
Kansas,2010,0.4289
Maryland,2004,0.6301
South Dakota,2004,0.6986
Minnesota,1986,0.4818
Tennessee,2008,0.5739
Washington,1992,0.6498
South Carolina,2020,0.6470999999999999
Massachusetts,2006,0.4956
New Jersey,2020,0.7204
New Mexico,1988,0.5344
Oregon,1992,0.6987000000000001
Alaska,2006,0.5167
Maryland,1980,0.5257000000000001
Wyoming,1980,0.5540999999999999
Nebraska,1994,0.5096
Nebraska,1984,0.5912
Colorado,1992,0.6403
Florida,2010,0.4221
Louisiana,2000,0.5671
Utah,2010,0.368
Kansas,2020,0.6509999999999999
Florida,2002,0.4528999999999999
Arizona,2002,0.3602
Nebraska,2010,0.3865999999999999
Idaho,2014,0.3977
Wyoming,1984,0.5793
South Dakota,2018,0.531
Nevada,2012,0.5661999999999999
Nevada,2022,0.4589
Florida,2018,0.5443
Alaska,2002,0.5392
New York,1990,0.3496
District Of Columbia,1980,0.379
Maine,2016,0.7284
Hawaii,2016,0.4318999999999999
North Dakota,2010,0.4664
Idaho,2008,0.6485
Massachusetts,1992,0.6492
Montana,1986,0.5708
Washington,1988,0.5861
New Hampshire,1992,0.6698999999999999
New York,2016,0.5757
New Mexico,2018,0.4674
Ohio,2006,0.4953
Nebraska,1988,0.6029
Vermont,2014,0.4105
Oklahoma,1986,0.4081
New Hampshire,2012,0.7073999999999999
Indiana,1982,0.473
Ohio,1988,0.5722999999999999
Minnesota,2014,0.5085000000000001
New Jersey,1996,0.5690999999999999
New York,2022,0.4246999999999999
Ohio,2020,0.6708
Texas,2022,0.4152
Nevada,2010,0.4127
District Of Columbia,2020,0.6887000000000001
New York,1982,0.4488
Tennessee,2016,0.5186999999999999
Kansas,2006,0.4443999999999999
Arizona,1992,0.5676
New Mexico,2008,0.6118
Oklahoma,2012,0.4947
Maryland,2020,0.6945
New Jersey,2008,0.6770999999999999
Connecticut,2000,0.6243
Virginia,2000,0.5540999999999999
West Virginia,2002,0.3153
Wyoming,1988,0.5916
Maryland,1988,0.5256000000000001
Nevada,1988,0.4612
Colorado,1994,0.4431
District Of Columbia,2014,0.3549
Virginia,2002,0.3229999999999999
Hawaii,1988,0.4979
California,1996,0.5502
Hawaii,1994,0.4659
Colorado,1988,0.6086
District Of Columbia,2006,0.2903
Utah,1994,0.4265
North Carolina,2018,0.4951
Arkansas,2014,0.4017
Utah,1998,0.3666
New Jersey,1988,0.5710000000000001
Montana,1988,0.6673
Iowa,1986,0.4564999999999999
Alaska,1980,0.602
California,1992,0.6158
New York,1984,0.5722999999999999
Michigan,1992,0.64
Missouri,2014,0.3371
Indiana,2020,0.6106
Minnesota,2022,0.5948
Kentucky,2008,0.5896
Delaware,2014,0.3529
Mississippi,2018,0.4371
Oklahoma,2010,0.3903999999999999
