Age,State,Income,Ethnicity,Education
55-64,Pennsylvania,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
65+,California,"$75,000 to $99,999",White,High school graduate (includes equivalency)
35-44,North Carolina,"$50,000 to $74,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Delaware,"Less than $25,000",White,Associate's degree
55-64,Maryland,"$75,000 to $99,999",White,High school graduate (includes equivalency)
65+,New York,"$150,000 or greater",White,"Some college, no degree"
65+,Pennsylvania,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Mississippi,"$50,000 to $74,999",White,Associate's degree
45-54,Florida,"$50,000 to $74,999",White,"Some college, no degree"
55-64,New Mexico,"$150,000 or greater",White,"Some college, no degree"
65+,Ohio,"$25,000 to $49,999",White,High school graduate (includes equivalency)
45-54,South Carolina,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Virginia,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Michigan,"$25,000 to $49,999",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
65+,Florida,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
65+,West Virginia,"Less than $25,000",White,High school graduate (includes equivalency)
25-34,Pennsylvania,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
65+,New Jersey,"$25,000 to $49,999",White,Bachelor's degree
55-64,Florida,"Less than $25,000",White,"Some college, no degree"
45-54,Michigan,"$25,000 to $49,999",White,"Some college, no degree"
45-54,Michigan,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
35-44,Indiana,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
35-44,Georgia,"$150,000 or greater",White,No schooling completed
65+,California,"Less than $25,000",White,Associate's degree
65+,Tennessee,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
55-64,Texas,"$75,000 to $99,999",White,"Some college, no degree"
25-34,Idaho,"$25,000 to $49,999",White,Bachelor's degree
35-44,Florida,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
65+,Virginia,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Ohio,"Less than $25,000",White,"Some college, no degree"
55-64,Indiana,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Colorado,"$25,000 to $49,999",White,Associate's degree
65+,Florida,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,New York,"$75,000 to $99,999",White,"Some college, no degree"
45-54,North Carolina,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
35-44,Georgia,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
18-24,Rhode Island,"$25,000 to $49,999",White,"Some college, no degree"
55-64,Texas,"$150,000 or greater",HispanicOrLatino,Bachelor's degree
65+,New York,"$50,000 to $74,999",White,Bachelor's degree
55-64,Washington,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
65+,Texas,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Georgia,"Less than $25,000",White,"9th to 12th grade, no diploma"
45-54,Texas,"Less than $25,000",HispanicOrLatino,"9th to 12th grade, no diploma"
18-24,New Jersey,"$100,000 to $149,999",White,Bachelor's degree
65+,California,"$50,000 to $74,999",Asian,"Graduate degree, professional degree or PhD"
65+,California,"$75,000 to $99,999",White,High school graduate (includes equivalency)
65+,Ohio,"Less than $25,000",BlackOrAfricanAmerican,Associate's degree
25-34,New York,"$75,000 to $99,999",HispanicOrLatino,Associate's degree
35-44,Illinois,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Florida,"$25,000 to $49,999",White,"Some college, no degree"
65+,Pennsylvania,"$150,000 or greater",White,"Some college, no degree"
45-54,Texas,"$75,000 to $99,999",White,"Some college, no degree"
35-44,New Jersey,"$25,000 to $49,999",HispanicOrLatino,No schooling completed
45-54,Indiana,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Massachusetts,"$100,000 to $149,999",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
65+,New York,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Louisiana,"$50,000 to $74,999",White,Bachelor's degree
65+,Michigan,"$25,000 to $49,999",White,Bachelor's degree
35-44,Mississippi,"$150,000 or greater",White,High school graduate (includes equivalency)
35-44,New York,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Florida,"$50,000 to $74,999",BlackOrAfricanAmerican,Bachelor's degree
55-64,Pennsylvania,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
55-64,Florida,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
25-34,Florida,"Less than $25,000",HispanicOrLatino,Associate's degree
55-64,Kentucky,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Michigan,"$50,000 to $74,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Wisconsin,"$50,000 to $74,999",White,"Some college, no degree"
65+,Massachusetts,"$50,000 to $74,999",White,Bachelor's degree
55-64,Kansas,"$75,000 to $99,999",White,Bachelor's degree
55-64,New York,"$50,000 to $74,999",White,Associate's degree
65+,Illinois,"$75,000 to $99,999",White,"Some college, no degree"
55-64,Texas,"$100,000 to $149,999",HispanicOrLatino,"Graduate degree, professional degree or PhD"
18-24,Michigan,"Less than $25,000",White,"Some college, no degree"
25-34,Georgia,"$50,000 to $74,999",HispanicOrLatino,"Graduate degree, professional degree or PhD"
65+,Oklahoma,"$25,000 to $49,999",White,Associate's degree
65+,California,"$25,000 to $49,999",White,Associate's degree
25-34,North Carolina,"$25,000 to $49,999",Other,Bachelor's degree
35-44,Michigan,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
65+,Washington,"Less than $25,000",White,Bachelor's degree
35-44,Virginia,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,California,"Less than $25,000",White,No schooling completed
65+,Massachusetts,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
25-34,Michigan,"$25,000 to $49,999",White,"Some college, no degree"
55-64,Arizona,"Less than $25,000",White,Associate's degree
25-34,Alabama,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,California,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
25-34,Georgia,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Oklahoma,"$50,000 to $74,999",White,Bachelor's degree
55-64,Maryland,"$75,000 to $99,999",White,"Some college, no degree"
55-64,Florida,"$25,000 to $49,999",White,"Some college, no degree"
65+,Illinois,"$100,000 to $149,999",White,Bachelor's degree
65+,Ohio,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Kansas,"$75,000 to $99,999",White,"Some college, no degree"
35-44,Michigan,"Less than $25,000",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
65+,Texas,"$50,000 to $74,999",White,Bachelor's degree
55-64,Missouri,"$75,000 to $99,999",White,"Some college, no degree"
25-34,Texas,"$100,000 to $149,999",BlackOrAfricanAmerican,Bachelor's degree
55-64,California,"$150,000 or greater",White,Bachelor's degree
65+,Florida,"Less than $25,000",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
65+,Colorado,"$75,000 to $99,999",White,Bachelor's degree
55-64,New Mexico,"$25,000 to $49,999",White,"Some college, no degree"
55-64,Florida,"Less than $25,000",White,Associate's degree
65+,Iowa,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Ohio,"$50,000 to $74,999",White,Bachelor's degree
35-44,California,"$25,000 to $49,999",Other,High school graduate (includes equivalency)
55-64,Florida,"$50,000 to $74,999",White,Associate's degree
55-64,Texas,"$50,000 to $74,999",White,"9th to 12th grade, no diploma"
35-44,New York,"$75,000 to $99,999",White,Associate's degree
55-64,California,"$150,000 or greater",White,Bachelor's degree
45-54,New Jersey,"$50,000 to $74,999",White,"Some college, no degree"
25-34,Wisconsin,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Dc,"$100,000 to $149,999",BlackOrAfricanAmerican,Bachelor's degree
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Virginia,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Colorado,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
25-34,Alabama,"$50,000 to $74,999",White,Bachelor's degree
65+,New York,"$75,000 to $99,999",HispanicOrLatino,"Graduate degree, professional degree or PhD"
35-44,New Jersey,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,New York,"Less than $25,000",White,High school graduate (includes equivalency)
25-34,New York,"$150,000 or greater",White,Bachelor's degree
18-24,Florida,"$25,000 to $49,999",Other,"Some college, no degree"
65+,North Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
65+,Arizona,"$25,000 to $49,999",White,Bachelor's degree
18-24,Massachusetts,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
45-54,Idaho,"$100,000 to $149,999",White,Bachelor's degree
55-64,Washington,"$25,000 to $49,999",White,Associate's degree
55-64,Virginia,"$25,000 to $49,999",Other,High school graduate (includes equivalency)
65+,New York,"$25,000 to $49,999",White,"Some college, no degree"
65+,South Carolina,"$50,000 to $74,999",White,No schooling completed
35-44,South Carolina,"$25,000 to $49,999",White,Bachelor's degree
55-64,Minnesota,"$150,000 or greater",White,Bachelor's degree
18-24,Nevada,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Pennsylvania,"Less than $25,000",HispanicOrLatino,Associate's degree
65+,New York,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,California,"Less than $25,000",White,Bachelor's degree
65+,Florida,"$50,000 to $74,999",HispanicOrLatino,Associate's degree
45-54,Georgia,"$100,000 to $149,999",HispanicOrLatino,Bachelor's degree
65+,Pennsylvania,"Less than $25,000",White,Bachelor's degree
18-24,Michigan,"$100,000 to $149,999",White,"Some college, no degree"
65+,Washington,"$25,000 to $49,999",Asian,High school graduate (includes equivalency)
45-54,Oregon,"$50,000 to $74,999",White,Associate's degree
25-34,California,"Less than $25,000",White,Associate's degree
45-54,Minnesota,"$50,000 to $74,999",White,Associate's degree
65+,Washington,"$25,000 to $49,999",White,"Some college, no degree"
55-64,Arkansas,"$75,000 to $99,999",White,"Some college, no degree"
55-64,New Jersey,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,Pennsylvania,"$50,000 to $74,999",White,Bachelor's degree
45-54,Illinois,"$75,000 to $99,999",BlackOrAfricanAmerican,Associate's degree
35-44,Texas,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
18-24,Florida,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Delaware,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Mississippi,"$50,000 to $74,999",Other,Bachelor's degree
65+,Florida,"$50,000 to $74,999",White,"Some college, no degree"
35-44,Georgia,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
45-54,Arizona,"$150,000 or greater",White,"Some college, no degree"
45-54,Illinois,"$50,000 to $74,999",White,"Some college, no degree"
65+,Arizona,"$25,000 to $49,999",HispanicOrLatino,"Some college, no degree"
18-24,Tennessee,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,New York,"$50,000 to $74,999",HispanicOrLatino,"9th to 12th grade, no diploma"
55-64,Pennsylvania,"$50,000 to $74,999",White,High school graduate (includes equivalency)
55-64,Iowa,"Less than $25,000",White,Associate's degree
45-54,California,"Less than $25,000",Other,"Some college, no degree"
55-64,California,"$50,000 to $74,999",HispanicOrLatino,Bachelor's degree
65+,Kansas,"$25,000 to $49,999",White,"Some college, no degree"
65+,New York,"Less than $25,000",White,"Some college, no degree"
65+,Arkansas,"$50,000 to $74,999",White,Bachelor's degree
65+,Pennsylvania,"$50,000 to $74,999",White,"9th to 12th grade, no diploma"
55-64,Florida,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Colorado,"$75,000 to $99,999",White,Bachelor's degree
25-34,Ohio,"$25,000 to $49,999",White,"Some college, no degree"
65+,California,"Less than $25,000",White,"Some college, no degree"
18-24,Pennsylvania,"Less than $25,000",Other,No schooling completed
65+,Florida,"$50,000 to $74,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Colorado,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Texas,"$50,000 to $74,999",White,"Some college, no degree"
65+,New Jersey,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
55-64,Connecticut,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,California,"Less than $25,000",HispanicOrLatino,"Some college, no degree"
65+,Wisconsin,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Maine,"Less than $25,000",White,"Some college, no degree"
65+,South Carolina,"$25,000 to $49,999",White,"Some college, no degree"
55-64,Pennsylvania,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
25-34,Pennsylvania,"$25,000 to $49,999",HispanicOrLatino,Associate's degree
65+,Oregon,"$50,000 to $74,999",Asian,Associate's degree
25-34,Kansas,"Less than $25,000",White,Less than 9th grade
18-24,Tennessee,"$75,000 to $99,999",Other,Associate's degree
65+,Ohio,"Less than $25,000",White,Associate's degree
18-24,California,"$75,000 to $99,999",Asian,"Some college, no degree"
25-34,Mississippi,"$75,000 to $99,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Nevada,"$25,000 to $49,999",White,"Some college, no degree"
35-44,Arkansas,"$25,000 to $49,999",White,"Some college, no degree"
65+,Virginia,"Less than $25,000",White,"Some college, no degree"
65+,California,"$100,000 to $149,999",BlackOrAfricanAmerican,Bachelor's degree
35-44,New Mexico,"Less than $25,000",White,"Some college, no degree"
65+,Florida,"$75,000 to $99,999",White,"Some college, no degree"
65+,Maryland,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
45-54,New Jersey,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
65+,Georgia,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
55-64,California,"$75,000 to $99,999",BlackOrAfricanAmerican,"Some college, no degree"
35-44,Pennsylvania,"$75,000 to $99,999",White,No schooling completed
35-44,New York,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
45-54,Oregon,"Less than $25,000",White,Associate's degree
65+,California,"$100,000 to $149,999",White,Associate's degree
45-54,South Carolina,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Massachusetts,"Less than $25,000",HispanicOrLatino,"Some college, no degree"
55-64,North Dakota,"$75,000 to $99,999",White,"Some college, no degree"
65+,Missouri,"Less than $25,000",White,"Some college, no degree"
25-34,Oregon,"$25,000 to $49,999",White,Bachelor's degree
35-44,Oklahoma,"Less than $25,000",White,"Some college, no degree"
25-34,New York,"$150,000 or greater",BlackOrAfricanAmerican,No schooling completed
35-44,Iowa,"$150,000 or greater",White,Bachelor's degree
35-44,New Mexico,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
35-44,Texas,"Less than $25,000",White,No schooling completed
65+,Texas,"$25,000 to $49,999",White,"Some college, no degree"
25-34,Pennsylvania,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Pennsylvania,"$50,000 to $74,999",White,High school graduate (includes equivalency)
55-64,New York,"$50,000 to $74,999",White,Associate's degree
65+,Washington,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
55-64,South Carolina,"Less than $25,000",BlackOrAfricanAmerican,Associate's degree
65+,California,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
45-54,New York,"$75,000 to $99,999",White,"Some college, no degree"
25-34,New York,"Less than $25,000",White,"Some college, no degree"
35-44,California,"$150,000 or greater",HispanicOrLatino,No schooling completed
25-34,Kansas,"$75,000 to $99,999",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
55-64,North Carolina,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
65+,Virginia,"Less than $25,000",White,Less than 9th grade
55-64,Indiana,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Michigan,"$25,000 to $49,999",White,Bachelor's degree
55-64,Illinois,"$75,000 to $99,999",White,"Some college, no degree"
25-34,New York,"$50,000 to $74,999",White,Bachelor's degree
65+,New Jersey,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,California,"Less than $25,000",Other,Less than 9th grade
55-64,California,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
45-54,Florida,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,Pennsylvania,"$25,000 to $49,999",HispanicOrLatino,High school graduate (includes equivalency)
65+,Florida,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
55-64,Ohio,"$50,000 to $74,999",White,Associate's degree
45-54,Indiana,"$50,000 to $74,999",White,Bachelor's degree
45-54,Kentucky,"$100,000 to $149,999",White,"Some college, no degree"
65+,Texas,"$25,000 to $49,999",HispanicOrLatino,"Some college, no degree"
25-34,South Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,Bachelor's degree
65+,Texas,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
65+,New Jersey,"$50,000 to $74,999",White,High school graduate (includes equivalency)
