Age,State,Income,Ethnicity,Education
65+,North Carolina,"$50,000 to $74,999",White,Bachelor's degree
25-34,Georgia,"$25,000 to $49,999",Asian,High school graduate (includes equivalency)
55-64,California,"Less than $25,000",Asian,"9th to 12th grade, no diploma"
45-54,Pennsylvania,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Michigan,"Less than $25,000",White,Associate's degree
55-64,Texas,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
55-64,California,"Less than $25,000",White,"Some college, no degree"
65+,Arizona,"$50,000 to $74,999",White,"Some college, no degree"
65+,Florida,"$75,000 to $99,999",HispanicOrLatino,Bachelor's degree
65+,Ohio,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,Texas,"Less than $25,000",White,Associate's degree
55-64,Tennessee,"Less than $25,000",White,"Some college, no degree"
25-34,New Mexico,"$25,000 to $49,999",HispanicOrLatino,"Some college, no degree"
65+,Washington,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Nebraska,"$50,000 to $74,999",White,Bachelor's degree
65+,California,"$75,000 to $99,999",BlackOrAfricanAmerican,Associate's degree
65+,Texas,"$150,000 or greater",White,Bachelor's degree
35-44,California,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
65+,California,"Less than $25,000",White,"Some college, no degree"
65+,Illinois,"Less than $25,000",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
25-34,Missouri,"$25,000 to $49,999",White,Associate's degree
55-64,Florida,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
55-64,Nevada,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
45-54,California,"Less than $25,000",Other,Associate's degree
65+,South Carolina,"$25,000 to $49,999",Other,Associate's degree
18-24,Washington,"$25,000 to $49,999",White,High school graduate (includes equivalency)
25-34,Wisconsin,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
18-24,Florida,"$25,000 to $49,999",HispanicOrLatino,"Some college, no degree"
18-24,Alabama,"Less than $25,000",White,Associate's degree
18-24,Delaware,"$150,000 or greater",Other,High school graduate (includes equivalency)
55-64,Texas,"$25,000 to $49,999",White,Bachelor's degree
65+,Kentucky,"Less than $25,000",White,No schooling completed
65+,Utah,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Dc,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Utah,"Less than $25,000",White,Associate's degree
45-54,New York,"$75,000 to $99,999",White,Bachelor's degree
65+,Georgia,"Less than $25,000",White,Bachelor's degree
65+,Missouri,"$100,000 to $149,999",White,Bachelor's degree
65+,Florida,"Less than $25,000",White,Associate's degree
55-64,California,"$150,000 or greater",White,Bachelor's degree
65+,Illinois,"$25,000 to $49,999",HispanicOrLatino,"Some college, no degree"
65+,Arizona,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
65+,Mississippi,"$25,000 to $49,999",White,Associate's degree
25-34,Tennessee,"$75,000 to $99,999",White,Bachelor's degree
55-64,North Carolina,"Less than $25,000",White,Associate's degree
45-54,Texas,"Less than $25,000",BlackOrAfricanAmerican,No schooling completed
45-54,Indiana,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Pennsylvania,"$150,000 or greater",White,Associate's degree
45-54,Michigan,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Missouri,"$50,000 to $74,999",White,"Some college, no degree"
65+,Indiana,"$25,000 to $49,999",White,High school graduate (includes equivalency)
45-54,Wisconsin,"Less than $25,000",Other,"9th to 12th grade, no diploma"
55-64,Florida,"Less than $25,000",HispanicOrLatino,Associate's degree
35-44,Virginia,"$25,000 to $49,999",White,Associate's degree
45-54,Massachusetts,"Less than $25,000",Other,"9th to 12th grade, no diploma"
65+,Utah,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,Georgia,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,California,"Less than $25,000",White,"Some college, no degree"
45-54,Indiana,"Less than $25,000",White,High school graduate (includes equivalency)
25-34,New York,"$50,000 to $74,999",White,Bachelor's degree
25-34,Florida,"$50,000 to $74,999",BlackOrAfricanAmerican,Associate's degree
25-34,New York,"$100,000 to $149,999",White,Bachelor's degree
55-64,Illinois,"$150,000 or greater",White,High school graduate (includes equivalency)
55-64,Louisiana,"$25,000 to $49,999",White,"Some college, no degree"
45-54,Florida,"$75,000 to $99,999",Other,"Some college, no degree"
65+,Missouri,"$25,000 to $49,999",HispanicOrLatino,"Some college, no degree"
65+,California,"$50,000 to $74,999",White,"9th to 12th grade, no diploma"
55-64,Virginia,"$150,000 or greater",White,Bachelor's degree
25-34,Illinois,"$75,000 to $99,999",White,Bachelor's degree
55-64,California,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Florida,"Less than $25,000",White,"Some college, no degree"
18-24,Florida,"Less than $25,000",HispanicOrLatino,Associate's degree
65+,California,"$50,000 to $74,999",HispanicOrLatino,High school graduate (includes equivalency)
65+,Illinois,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,New York,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Texas,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,California,"$75,000 to $99,999",White,High school graduate (includes equivalency)
55-64,Ohio,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
18-24,Florida,"Less than $25,000",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
45-54,Maryland,"$100,000 to $149,999",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
65+,Florida,"Less than $25,000",White,Associate's degree
45-54,New York,"$50,000 to $74,999",White,High school graduate (includes equivalency)
45-54,Oklahoma,"$150,000 or greater",White,"9th to 12th grade, no diploma"
45-54,Texas,"$25,000 to $49,999",White,Bachelor's degree
18-24,Colorado,"Less than $25,000",Other,"9th to 12th grade, no diploma"
35-44,North Carolina,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
25-34,Kentucky,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Arizona,"$75,000 to $99,999",HispanicOrLatino,"Some college, no degree"
55-64,Virginia,"$25,000 to $49,999",HispanicOrLatino,"9th to 12th grade, no diploma"
45-54,Texas,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Washington,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Illinois,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
18-24,Virginia,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Georgia,"$150,000 or greater",White,"Some college, no degree"
65+,North Carolina,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
25-34,Washington,"$75,000 to $99,999",White,Bachelor's degree
65+,Missouri,"$25,000 to $49,999",White,"Some college, no degree"
55-64,New York,"$25,000 to $49,999",White,High school graduate (includes equivalency)
25-34,Pennsylvania,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
65+,Oklahoma,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
65+,California,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,North Carolina,"$50,000 to $74,999",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
35-44,Texas,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
55-64,Missouri,"$100,000 to $149,999",White,Bachelor's degree
55-64,California,"$25,000 to $49,999",White,Bachelor's degree
55-64,Texas,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,West Virginia,"Less than $25,000",White,Associate's degree
45-54,Virginia,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
25-34,Tennessee,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
35-44,North Carolina,"$25,000 to $49,999",Other,"Some college, no degree"
65+,Texas,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
18-24,New York,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,Ohio,"$150,000 or greater",Other,"Graduate degree, professional degree or PhD"
25-34,Ohio,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,Oklahoma,"Less than $25,000",Asian,"9th to 12th grade, no diploma"
55-64,Washington,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,California,"$25,000 to $49,999",White,High school graduate (includes equivalency)
25-34,Tennessee,"$50,000 to $74,999",White,"Some college, no degree"
45-54,Washington,"$100,000 to $149,999",White,Bachelor's degree
18-24,California,"$100,000 to $149,999",White,"Some college, no degree"
18-24,Michigan,"$25,000 to $49,999",Other,High school graduate (includes equivalency)
35-44,Massachusetts,"$75,000 to $99,999",White,Bachelor's degree
65+,New York,"Less than $25,000",White,High school graduate (includes equivalency)
65+,South Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
35-44,California,"$25,000 to $49,999",HispanicOrLatino,Associate's degree
65+,New Jersey,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Pennsylvania,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,New York,"$25,000 to $49,999",White,"Some college, no degree"
35-44,New York,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
65+,California,"$150,000 or greater",White,Bachelor's degree
45-54,North Carolina,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Kentucky,"$100,000 to $149,999",White,Bachelor's degree
35-44,Texas,"Less than $25,000",HispanicOrLatino,"9th to 12th grade, no diploma"
55-64,Texas,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
35-44,California,"$50,000 to $74,999",White,"Some college, no degree"
25-34,California,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
55-64,Pennsylvania,"Less than $25,000",White,High school graduate (includes equivalency)
45-54,South Carolina,"$25,000 to $49,999",White,"Some college, no degree"
65+,North Carolina,"$25,000 to $49,999",White,"Some college, no degree"
65+,Illinois,"$25,000 to $49,999",White,"Some college, no degree"
45-54,New Mexico,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
45-54,Wyoming,"$100,000 to $149,999",White,"Some college, no degree"
45-54,Georgia,"$25,000 to $49,999",White,Bachelor's degree
18-24,Arizona,"$100,000 to $149,999",White,"9th to 12th grade, no diploma"
18-24,Georgia,"$25,000 to $49,999",White,"Some college, no degree"
35-44,California,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,Wisconsin,"$50,000 to $74,999",White,High school graduate (includes equivalency)
18-24,California,"Less than $25,000",Asian,High school graduate (includes equivalency)
55-64,Tennessee,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Georgia,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,California,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
55-64,Tennessee,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,New York,"Less than $25,000",Other,High school graduate (includes equivalency)
65+,Colorado,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
25-34,Virginia,"$25,000 to $49,999",White,"Some college, no degree"
25-34,Illinois,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,West Virginia,"$50,000 to $74,999",White,"Some college, no degree"
65+,Pennsylvania,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,New York,"$25,000 to $49,999",White,"Some college, no degree"
65+,Indiana,"Less than $25,000",White,High school graduate (includes equivalency)
65+,California,"Less than $25,000",White,Bachelor's degree
45-54,Wisconsin,"Less than $25,000",White,"Some college, no degree"
55-64,New York,"Less than $25,000",White,Associate's degree
55-64,California,"$25,000 to $49,999",Asian,"Graduate degree, professional degree or PhD"
55-64,Nebraska,"Less than $25,000",White,"Some college, no degree"
18-24,Illinois,"$50,000 to $74,999",White,High school graduate (includes equivalency)
18-24,Michigan,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,New Jersey,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,Wisconsin,"$150,000 or greater",White,"Some college, no degree"
55-64,Utah,"Less than $25,000",White,No schooling completed
65+,Florida,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Colorado,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,North Dakota,"$25,000 to $49,999",White,"Some college, no degree"
25-34,Tennessee,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
45-54,Virginia,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
65+,Michigan,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,Kentucky,"$25,000 to $49,999",White,No schooling completed
55-64,Texas,"$25,000 to $49,999",White,"Some college, no degree"
65+,Maryland,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,California,"$75,000 to $99,999",White,Bachelor's degree
45-54,California,"$150,000 or greater",Other,High school graduate (includes equivalency)
65+,New York,"Less than $25,000",White,Bachelor's degree
35-44,Pennsylvania,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Texas,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
45-54,Alabama,"Less than $25,000",White,"9th to 12th grade, no diploma"
35-44,Illinois,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
55-64,Colorado,"$50,000 to $74,999",HispanicOrLatino,"Some college, no degree"
55-64,Florida,"$75,000 to $99,999",Other,Associate's degree
35-44,Wisconsin,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Alabama,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
25-34,New York,"$50,000 to $74,999",White,High school graduate (includes equivalency)
55-64,Pennsylvania,"$75,000 to $99,999",Other,Bachelor's degree
65+,Texas,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Pennsylvania,"$50,000 to $74,999",HispanicOrLatino,"Graduate degree, professional degree or PhD"
55-64,Georgia,"Less than $25,000",White,Associate's degree
65+,Pennsylvania,"$50,000 to $74,999",White,Associate's degree
35-44,New Jersey,"$100,000 to $149,999",White,Bachelor's degree
55-64,Florida,"Less than $25,000",White,"9th to 12th grade, no diploma"
65+,Tennessee,"$25,000 to $49,999",White,Bachelor's degree
45-54,California,"Less than $25,000",HispanicOrLatino,Less than 9th grade
55-64,New York,"$75,000 to $99,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Arkansas,"$100,000 to $149,999",White,Associate's degree
35-44,Michigan,"$100,000 to $149,999",HispanicOrLatino,"Graduate degree, professional degree or PhD"
65+,Ohio,"Less than $25,000",White,High school graduate (includes equivalency)
18-24,Georgia,"$50,000 to $74,999",BlackOrAfricanAmerican,Bachelor's degree
65+,New Jersey,"$75,000 to $99,999",White,Bachelor's degree
35-44,Alabama,"$100,000 to $149,999",White,Bachelor's degree
35-44,Arizona,"Less than $25,000",HispanicOrLatino,"9th to 12th grade, no diploma"
65+,Maine,"$25,000 to $49,999",Other,High school graduate (includes equivalency)
65+,Florida,"$50,000 to $74,999",White,Bachelor's degree
65+,Pennsylvania,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Pennsylvania,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
55-64,Maryland,"$100,000 to $149,999",White,"Some college, no degree"
65+,Massachusetts,"$100,000 to $149,999",White,"Some college, no degree"
65+,Pennsylvania,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
55-64,Michigan,"$100,000 to $149,999",White,Bachelor's degree
25-34,Missouri,"Less than $25,000",White,High school graduate (includes equivalency)
65+,California,"$100,000 to $149,999",White,Bachelor's degree
55-64,Illinois,"$50,000 to $74,999",HispanicOrLatino,High school graduate (includes equivalency)
65+,California,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
65+,Massachusetts,"Less than $25,000",HispanicOrLatino,High school graduate (includes equivalency)
55-64,Louisiana,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
65+,Ohio,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
55-64,New York,"$25,000 to $49,999",White,Associate's degree
65+,Virginia,"$50,000 to $74,999",White,High school graduate (includes equivalency)
25-34,Kentucky,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
25-34,North Carolina,"$100,000 to $149,999",White,Associate's degree
45-54,Virginia,"Less than $25,000",White,"9th to 12th grade, no diploma"
65+,California,"$25,000 to $49,999",White,"Some college, no degree"
65+,Washington,"$100,000 to $149,999",Other,"Graduate degree, professional degree or PhD"
55-64,California,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
65+,California,"$25,000 to $49,999",White,High school graduate (includes equivalency)
35-44,Georgia,"Less than $25,000",White,"Some college, no degree"
55-64,Maine,"Less than $25,000",White,Associate's degree
65+,Tennessee,"Less than $25,000",White,"Some college, no degree"
65+,Washington,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Indiana,"$50,000 to $74,999",White,"Some college, no degree"
55-64,Michigan,"Less than $25,000",White,Bachelor's degree
65+,Illinois,"$150,000 or greater",HispanicOrLatino,Bachelor's degree
65+,Illinois,"$75,000 to $99,999",White,"9th to 12th grade, no diploma"
65+,Utah,"Less than $25,000",White,"9th to 12th grade, no diploma"
45-54,South Dakota,"$25,000 to $49,999",White,Associate's degree
25-34,Colorado,"$50,000 to $74,999",White,"Some college, no degree"
65+,Washington,"$50,000 to $74,999",Other,Associate's degree
65+,Missouri,"$50,000 to $74,999",BlackOrAfricanAmerican,Associate's degree
65+,Florida,"Less than $25,000",White,"Some college, no degree"
35-44,Maryland,"$25,000 to $49,999",White,"Some college, no degree"
65+,California,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
45-54,Kansas,"$25,000 to $49,999",White,Bachelor's degree
55-64,Georgia,"Less than $25,000",White,High school graduate (includes equivalency)
35-44,Washington,"$75,000 to $99,999",White,Associate's degree
18-24,Missouri,"$50,000 to $74,999",HispanicOrLatino,Associate's degree
25-34,New York,"$25,000 to $49,999",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
65+,California,"$25,000 to $49,999",Other,"Some college, no degree"
65+,Illinois,"Less than $25,000",White,No schooling completed
65+,Tennessee,"Less than $25,000",HispanicOrLatino,"9th to 12th grade, no diploma"
18-24,South Carolina,"$100,000 to $149,999",White,High school graduate (includes equivalency)
35-44,New York,"Less than $25,000",BlackOrAfricanAmerican,"9th to 12th grade, no diploma"
35-44,Wisconsin,"$25,000 to $49,999",White,Bachelor's degree
65+,Texas,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
55-64,Nebraska,"Less than $25,000",White,"9th to 12th grade, no diploma"
55-64,Georgia,"$50,000 to $74,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
65+,Kansas,"Less than $25,000",White,Associate's degree
45-54,Minnesota,"$75,000 to $99,999",Asian,Bachelor's degree
65+,Texas,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Pennsylvania,"Less than $25,000",White,"9th to 12th grade, no diploma"
55-64,New York,"$150,000 or greater",White,"Some college, no degree"
45-54,Texas,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
65+,Illinois,"Less than $25,000",White,"9th to 12th grade, no diploma"
65+,New York,"Less than $25,000",BlackOrAfricanAmerican,"Graduate degree, professional degree or PhD"
55-64,Pennsylvania,"$25,000 to $49,999",BlackOrAfricanAmerican,Associate's degree
55-64,Montana,"$25,000 to $49,999",White,Associate's degree
18-24,New York,"$25,000 to $49,999",HispanicOrLatino,Bachelor's degree
65+,New Hampshire,"$50,000 to $74,999",White,"Some college, no degree"
18-24,California,"$50,000 to $74,999",White,High school graduate (includes equivalency)
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
18-24,Colorado,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
55-64,California,"Less than $25,000",White,"9th to 12th grade, no diploma"
18-24,Florida,"$150,000 or greater",White,"Some college, no degree"
18-24,Florida,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Florida,"$100,000 to $149,999",White,"Some college, no degree"
65+,Washington,"$50,000 to $74,999",White,Associate's degree
65+,South Carolina,"$25,000 to $49,999",White,Associate's degree
55-64,Louisiana,"$75,000 to $99,999",White,"9th to 12th grade, no diploma"
55-64,Missouri,"$25,000 to $49,999",White,"Some college, no degree"
35-44,Florida,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Florida,"Less than $25,000",White,"Some college, no degree"
35-44,Connecticut,"$75,000 to $99,999",White,"Some college, no degree"
25-34,Texas,"$25,000 to $49,999",Other,"Some college, no degree"
65+,California,"$150,000 or greater",BlackOrAfricanAmerican,"Some college, no degree"
55-64,California,"$100,000 to $149,999",HispanicOrLatino,Associate's degree
35-44,North Dakota,"$100,000 to $149,999",White,Bachelor's degree
55-64,Iowa,"$50,000 to $74,999",Other,Associate's degree
45-54,Florida,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Illinois,"$75,000 to $99,999",White,High school graduate (includes equivalency)
65+,Florida,"$25,000 to $49,999",White,"Graduate degree, professional degree or PhD"
18-24,New Jersey,"$25,000 to $49,999",HispanicOrLatino,High school graduate (includes equivalency)
18-24,Rhode Island,"$150,000 or greater",White,Bachelor's degree
65+,Wyoming,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
55-64,New Hampshire,"$50,000 to $74,999",Other,High school graduate (includes equivalency)
55-64,Virginia,"$150,000 or greater",White,Bachelor's degree
35-44,California,"$75,000 to $99,999",White,High school graduate (includes equivalency)
35-44,Florida,"Less than $25,000",White,"Some college, no degree"
25-34,California,"$150,000 or greater",White,Bachelor's degree
55-64,Iowa,"Less than $25,000",White,Associate's degree
18-24,Pennsylvania,"Less than $25,000",Asian,"9th to 12th grade, no diploma"
65+,Nevada,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Georgia,"$100,000 to $149,999",White,High school graduate (includes equivalency)
45-54,Colorado,"$150,000 or greater",Asian,"Some college, no degree"
18-24,Texas,"Less than $25,000",HispanicOrLatino,"Some college, no degree"
45-54,New Jersey,"$50,000 to $74,999",White,"Some college, no degree"
55-64,West Virginia,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Michigan,"$50,000 to $74,999",BlackOrAfricanAmerican,Associate's degree
65+,Indiana,"$25,000 to $49,999",White,"Some college, no degree"
35-44,Massachusetts,"$25,000 to $49,999",White,"Some college, no degree"
18-24,Texas,"$75,000 to $99,999",HispanicOrLatino,Bachelor's degree
65+,Michigan,"$25,000 to $49,999",White,Bachelor's degree
18-24,Michigan,"Less than $25,000",White,High school graduate (includes equivalency)
55-64,Georgia,"$25,000 to $49,999",BlackOrAfricanAmerican,"Some college, no degree"
55-64,Ohio,"$25,000 to $49,999",White,"Some college, no degree"
65+,Michigan,"Less than $25,000",BlackOrAfricanAmerican,"Some college, no degree"
65+,Kentucky,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Ohio,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Florida,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
35-44,Pennsylvania,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Washington,"$25,000 to $49,999",White,High school graduate (includes equivalency)
18-24,Florida,"Less than $25,000",BlackOrAfricanAmerican,High school graduate (includes equivalency)
55-64,North Carolina,"$25,000 to $49,999",BlackOrAfricanAmerican,Associate's degree
65+,Indiana,"$25,000 to $49,999",White,"Some college, no degree"
45-54,Arkansas,"Less than $25,000",White,"Some college, no degree"
65+,Michigan,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
45-54,Wisconsin,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
18-24,Florida,"$150,000 or greater",White,High school graduate (includes equivalency)
65+,Oregon,"$75,000 to $99,999",White,"Some college, no degree"
55-64,North Carolina,"$75,000 to $99,999",White,"Some college, no degree"
18-24,Michigan,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
55-64,Illinois,"Less than $25,000",White,"Graduate degree, professional degree or PhD"
45-54,Ohio,"$150,000 or greater",White,High school graduate (includes equivalency)
45-54,Mississippi,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
65+,California,"$25,000 to $49,999",White,"Some college, no degree"
65+,Arizona,"Less than $25,000",White,No schooling completed
65+,Colorado,"$100,000 to $149,999",White,Associate's degree
65+,Wisconsin,"Less than $25,000",White,"9th to 12th grade, no diploma"
35-44,Georgia,"$25,000 to $49,999",White,High school graduate (includes equivalency)
35-44,New York,"$100,000 to $149,999",White,Bachelor's degree
65+,New York,"Less than $25,000",White,High school graduate (includes equivalency)
65+,California,"$25,000 to $49,999",White,High school graduate (includes equivalency)
65+,Colorado,"$25,000 to $49,999",White,High school graduate (includes equivalency)
55-64,Illinois,"$150,000 or greater",White,Bachelor's degree
45-54,Michigan,"$25,000 to $49,999",Other,"Some college, no degree"
25-34,Arizona,"Less than $25,000",White,Bachelor's degree
55-64,Michigan,"$25,000 to $49,999",White,"Some college, no degree"
45-54,Nebraska,"$75,000 to $99,999",White,Bachelor's degree
65+,Florida,"$150,000 or greater",White,"Some college, no degree"
35-44,Texas,"$100,000 to $149,999",White,"Graduate degree, professional degree or PhD"
55-64,South Dakota,"$50,000 to $74,999",BlackOrAfricanAmerican,"Some college, no degree"
65+,Ohio,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
55-64,California,"$50,000 to $74,999",White,High school graduate (includes equivalency)
65+,Texas,"Less than $25,000",White,"9th to 12th grade, no diploma"
18-24,South Carolina,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Alabama,"Less than $25,000",BlackOrAfricanAmerican,Associate's degree
45-54,North Carolina,"$50,000 to $74,999",White,"Some college, no degree"
25-34,Virginia,"$25,000 to $49,999",White,Bachelor's degree
45-54,New Jersey,"$50,000 to $74,999",White,"Some college, no degree"
45-54,Maine,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
18-24,Nevada,"$25,000 to $49,999",HispanicOrLatino,"Some college, no degree"
25-34,Tennessee,"Less than $25,000",White,"9th to 12th grade, no diploma"
35-44,Indiana,"$50,000 to $74,999",White,Bachelor's degree
65+,Missouri,"Less than $25,000",White,Bachelor's degree
35-44,Texas,"Less than $25,000",HispanicOrLatino,"9th to 12th grade, no diploma"
65+,California,"$100,000 to $149,999",White,"Some college, no degree"
45-54,North Carolina,"$25,000 to $49,999",White,"9th to 12th grade, no diploma"
65+,New Jersey,"$50,000 to $74,999",White,Bachelor's degree
55-64,Georgia,"$75,000 to $99,999",HispanicOrLatino,Bachelor's degree
65+,Virginia,"$25,000 to $49,999",White,High school graduate (includes equivalency)
35-44,Georgia,"$150,000 or greater",White,"Graduate degree, professional degree or PhD"
65+,Massachusetts,"$50,000 to $74,999",White,High school graduate (includes equivalency)
55-64,Virginia,"$150,000 or greater",White,"Some college, no degree"
65+,California,"$100,000 to $149,999",White,"9th to 12th grade, no diploma"
55-64,Illinois,"$100,000 to $149,999",BlackOrAfricanAmerican,"Some college, no degree"
35-44,Kansas,"$50,000 to $74,999",White,"Graduate degree, professional degree or PhD"
55-64,California,"Less than $25,000",White,"Some college, no degree"
55-64,North Carolina,"Less than $25,000",BlackOrAfricanAmerican,No schooling completed
65+,California,"$100,000 to $149,999",White,No schooling completed
55-64,New Jersey,"$25,000 to $49,999",BlackOrAfricanAmerican,High school graduate (includes equivalency)
25-34,Mississippi,"Less than $25,000",White,High school graduate (includes equivalency)
65+,Texas,"Less than $25,000",White,Bachelor's degree
55-64,Oklahoma,"$25,000 to $49,999",White,Associate's degree
65+,Georgia,"$75,000 to $99,999",HispanicOrLatino,High school graduate (includes equivalency)
65+,Tennessee,"$25,000 to $49,999",White,Bachelor's degree
55-64,New York,"Less than $25,000",White,"Some college, no degree"
65+,Florida,"$50,000 to $74,999",Other,"Some college, no degree"
18-24,Texas,"$150,000 or greater",BlackOrAfricanAmerican,No schooling completed
35-44,Florida,"$75,000 to $99,999",White,"Graduate degree, professional degree or PhD"
